RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021
395178,695,"Urbana, OH",Msa,OH,154097,156704,159881,162019,164099,165851,167471,169183,170742,171902,172800,175672
394434,696,"Cambridge, OH",Msa,OH,115525,117369,119323,120472,121750,123044,124244,125359,126687,127746,128709,130725
394934,697,"Okeechobee, FL",Msa,FL,216096,214678,209258,203599,194272,183116,174760,171073,173611,175256,176139,177677
394845,698,"McMinnville, TN",Msa,TN,140683,142560,143042,142549,142899,143045,145119,146122,147367,148854,150365,152899
395082,699,"Selinsgrove, PA",Msa,PA,180853,183110,185610,187515,189303,191169,192961,194405,195954,197277,198352,
394904,700,"Natchitoches, LA",Msa,LA,175432,176525,177799,178968,179873,180654,181339,182104,182876,183624,184529,186923
394383,702,"Berlin, NH",Msa,NH,,139377,142839,144747,146592,148397,149988,151512,152958,154395,155711,158585
394799,703,"Lock Haven, PA",Msa,PA,152320,154117,156233,157685,159164,160486,161791,163022,164263,165324,166225,
395099,704,"Sikeston, MO",Msa,MO,112200,114109,116624,117787,119265,120300,121650,122754,123913,124471,124772,126045
394354,705,"Austin, MN",Msa,MN,145930,147538,148117,150163,151949,154196,155763,158023,159710,161302,163178,165660
394476,706,"Clewiston, FL",Msa,FL,,150559,154508,156765,158855,160712,162726,165083,167366,169297,170523,
394981,707,"Pittsburg, KS",Msa,KS,88556,89744,91087,91915,92699,93519,94267,95079,95837,96183,96402,96886
394526,708,"Defiance, OH",Msa,OH,131929,133906,136178,137815,139245,140783,142080,143732,145261,146432,147164,149281
395072,709,"Scottsbluff, NE",Msa,NE,145020,147043,149465,150748,152229,153485,154617,155604,156701,157795,158838,161479
394801,710,"Logansport, IN",Msa,IN,,96437,98176,99027,100048,101363,102537,103566,104458,105284,106000,107337
394992,711,"Pontiac, IL",Msa,IL,109771,110905,112164,113040,113858,114706,115490,116406,116612,116580,116240,117137
394663,712,"Hannibal, MO",Msa,MO,130757,132947,135412,136650,138149,139539,141100,142510,143978,144873,145360,147105
394888,713,"Mount Vernon, IL",Msa,IL,102208,103329,104451,105242,106163,107225,108323,109410,110381,111125,111675,112698
394690,714,"Houghton, MI",Msa,MI,134283,135698,137448,138903,140573,142499,144444,146342,148192,149816,151171,153615
395176,715,"Union City, TN",Msa,TN,,88470,90281,91271,92222,93021,93999,94973,95834,96265,96511,
395069,716,"Sault Ste. Marie, MI",Msa,MI,127076,128951,131194,132688,133960,135006,136270,137966,139789,141498,142449,144565
395192,717,"Vincennes, IN",Msa,IN,,100093,102195,103351,104674,106079,107276,108253,109046,110013,110778,112291
394624,718,"Gainesville, TX",Msa,TX,,194498,198809,201332,203919,206484,209379,212123,214959,216904,218447,
